"id","name","address","cityId","cityName","districtId","districtName","phone","telephones","logoUrl","businessTime","lowPrice","cinemaId"
"1","广州中影火山湖电影城东山口店","广州市越秀区农林下路4-6号锦轩现代城四楼","440100","广州市","440104","越秀区","020-87623898/020-87623868","020-87623898/020-87623868","https://pic.maizuo.comusr/4592/d9c024195d4b26dae7ad7226082d8d74.jpg","09：30-10：30","4900","4592"
"2","卢米埃广州IMAX影城","广州市海珠区海珠叠景路157—170号（双号）合生广场L5-01/17号单位","440100","广州市","440105","海珠区","020—89118170","020—89118170","https://pic.maizuo.comusr/6616/782158e3d8dcfb1d99eb2a2f1cb29807.png","10：00—02：00	","3000","6616"
"3","金逸影城海珠新都荟店","广东省广州市海珠区东晓南路 1290 号海珠新都荟 4 楼","440100","广州市","440105","海珠区","020-31956939","020-31956939","","","3500","9398"
"4","广州海珠万达广场店","广东省广州市海珠区广州大道南978号601铺","440100","广州市","440105","海珠区","undefined","","","","3990","9746"
"5","广州中都影城","广州市天河区黄埔大道保利克洛维3期3、4层（汉堡王对面观光梯直上）。","440100","广州市","440106","天河区","020-22119636","020-22119636","https://pic.maizuo.comusr/7814/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","4100","7814"
"6","广州中华广场电影城","广州市越秀区中山三路33号中华广场八楼","440100","广州市","440104","越秀区","020-83739423","020-83739423","https://pic.maizuo.comusr/497/FDEB9006EC1C7F0CF692FD29C1617D26.jpg","10:00-23:30","3000","497"
"7","广州万达影城海珠佳永广场店","广州市海珠区江南大道南与新滘西路交界处盈熙广场二楼","440100","广州市","440105","海珠区","020-34328246","020-34328246","https://pic.maizuo.comusr/2925/581a5a07eaa9b02bf3f5e42c2c55b013.tmp","","3890","2925"
"8","中影德金影城(丽影店)","广州市海珠区新港中路356号丽影广场B区5楼","440100","广州市","440105","海珠区","020-89309483","020-89309483","https://pic.maizuo.comusr/7645/c6bdc13efc67f2fb29d3725a2fddc469.png","","4190","7645"
"9","保利国际影城广州中环店","广东广州越秀区建设大马路18号中环广场南楼五层","440100","广州市","440104","越秀区","020-83030222","020-83030222","https://pic.maizuo.comusr/598/8e37af2386aa65a1bda0afac54215d1b.jpg","10:00-23:00","4800","598"
"10","金逸影城（广州花地IMAX店）","广州市荔湾区花地大道中66号第六层自编6-01 ","440100","广州市","440103","荔湾区","020-89998808","020-89998808","https://pic.maizuo.comusr/8766/4c825a0a7d23df9fed5b85caad9a4bc7.jpg","","3000","8766"
